node_id,ppr_score
1029,0.030001755717878758
2054,0.030001202266786445
135,0.030000330652638626
24,0.030000000000000006
0,0.030000000000000006
249,0.0034633598463171705
251,0.003454165332780935
367,0.0034485706740116965
5,0.0034051494580685897
9,0.003268541718310803
147,0.003207615534335171
7,0.0031142567582787125
127,0.0030845583934132033
4,0.0030834409895578166
121,0.0030531019283519217
8,0.0029738025838027438
122,0.0029361569941564612
132,0.002780217482420289
3,0.0027539918070420798
125,0.002705053237083219
