x,y,pmi,count
saving,reverence,2.9066419393685465,5
reverence,saving,2.9066419393685465,5
scotland,nobleman,2.8991323375898013,6
nobleman,scotland,2.8991323375898013,6
tullus,aufidius,2.8987877961342825,9
aufidius,tullus,2.8987877961342825,9
skin,calf,2.894723218684746,7
calf,skin,2.894723218684746,7
east,west,2.878928951501514,12
west,east,2.878928951501514,12
pisa,vincentio,2.877943038519863,5
vincentio,pisa,2.877943038519863,5
evans,oman,2.877573897416548,8
oman,evans,2.877573897416548,8
en,ta,2.876311765794453,94
ta,en,2.876311765794453,94
count,nance,2.858869157572546,5
nance,count,2.858869157572546,5
et,vous,2.858869157572546,5
vous,et,2.858869157572546,5
alarum,excursions,2.857739652431576,12
excursions,alarum,2.857739652431576,12
ross,willoughby,2.856934657795346,7
willoughby,ross,2.856934657795346,7
phebe,silvius,2.84752048724989,12
silvius,phebe,2.84752048724989,12
swol,n,2.8438632489475877,5
n,swol,2.8438632489475877,5
pow,rs,2.8417062466946454,24
rs,pow,2.8417062466946454,24
le,et,2.8411403906121144,11
et,le,2.8411403906121144,11
stol,n,2.836564010206088,59
n,stol,2.836564010206088,59
m,je,2.8346743483628827,5
je,m,2.8346743483628827,5
room,elsinore,2.8336059727148566,10
elsinore,room,2.8336059727148566,10
elsinore,castle,2.8319323888252903,14
castle,elsinore,2.8319323888252903,14
baptista,minola,2.827250330283676,5
minola,baptista,2.827250330283676,5
goneril,regan,2.826899951497504,6
regan,goneril,2.826899951497504,6
serpent,sting,2.8241070513133337,5
sting,serpent,2.8241070513133337,5
seas,narrow,2.819951091542176,5
narrow,seas,2.819951091542176,5
angus,ross,2.8077166351251646,5
ross,angus,2.8077166351251646,5
goods,lands,2.804354707663914,7
lands,goods,2.804354707663914,7
blunt,walter,2.804212222596395,10
walter,blunt,2.804212222596395,10
maecenas,agrippa,2.8041568243589445,9
agrippa,maecenas,2.8041568243589445,9
earl,wiltshire,2.8025769954727533,7
wiltshire,earl,2.8025769954727533,7
et,je,2.7919223679419325,5
je,et,2.7919223679419325,5
pow,r,2.7870731291575157,33
r,pow,2.7870731291575157,33
messala,titinius,2.7804425502585026,9
salerio,solanio,2.7804425502585026,7
titinius,messala,2.7804425502585026,9
solanio,salerio,2.7804425502585026,7
thunder,lightning,2.779028676578146,10
lightning,thunder,2.779028676578146,10
nym,corporal,2.7770837208179455,7
corporal,nym,2.7770837208179455,7
snout,quince,2.77341876673154,5
quince,snout,2.77341876673154,5
katherine,je,2.7720275392249936,10
je,katherine,2.7720275392249936,10
le,vous,2.769784482076446,7
vous,le,2.769784482076446,7
count,rousillon,2.7696459732307805,19
rousillon,count,2.7696459732307805,19
de,nick,2.768798569094795,5
nick,de,2.768798569094795,5
flow,ebb,2.7668878995725823,6
ebb,flow,2.7668878995725823,6
theseus,philostrate,2.759253251188565,5
philostrate,theseus,2.759253251188565,5
grey,vaughan,2.758355020295664,5
vaughan,grey,2.758355020295664,5
caius,vat,2.755225761905521,8
vat,caius,2.755225761905521,8
west,south,2.748595183006508,6
south,west,2.748595183006508,6
caius,gar,2.7476726240150753,19
gar,caius,2.7476726240150753,19
r,tow,2.7390498651002777,5
tow,r,2.7390498651002777,5
paris,deiphobus,2.738835345717352,6
deiphobus,paris,2.738835345717352,6
titania,oberon,2.733506512212285,9
oberon,titania,2.733506512212285,9
launcelot,gobbo,2.7330830168282603,10
gobbo,launcelot,2.7330830168282603,10
topas,malvolio,2.730603286997189,8
malvolio,topas,2.730603286997189,8
arras,behind,2.726675363189214,8
behind,arras,2.726675363189214,8
lion,whelp,2.7218020064185713,5
whelp,lion,2.7218020064185713,5
flourish,cornets,2.7198359386589086,9
